Latitude (decimal degrees):	14.848
Longitude (decimal degrees):	-17.140
Radiation database:	PVGIS-SARAH
Optimal slope angle (deg.):	17

year		month		H(i_opt)_m
2005		Jan		202.47
2005		Feb		180.68
2005		Mar		236.01
2005		Apr		218.84
2005		May		199.08
2005		Jun		188.71
2005		Jul		163.99
2005		Aug		163.35
2005		Sep		167.28
2005		Oct		191.57
2005		Nov		188.53
2005		Dec		185.9
2006		Jan		202.27
2006		Feb		185.49
2006		Mar		232.26
2006		Apr		224.44
2006		May		214.47
2006		Jun		192.79
2006		Jul		177.75
2006		Aug		171.16
2006		Sep		174.89
2006		Oct		197.1
2006		Nov		210.27
2006		Dec		201.99
2007		Jan		202.45
2007		Feb		196.26
2007		Mar		227.98
2007		Apr		219.12
2007		May		212.65
2007		Jun		186.07
2007		Jul		174.77
2007		Aug		170.6
2007		Sep		175.8
2007		Oct		206.95
2007		Nov		195.63
2007		Dec		202.83
2008		Jan		198.21
2008		Feb		205.19
2008		Mar		233.17
2008		Apr		224.53
2008		May		213.45
2008		Jun		183.38
2008		Jul		163.64
2008		Aug		164.1
2008		Sep		171.26
2008		Oct		193.04
2008		Nov		199.15
2008		Dec		204.36
2009		Jan		207.77
2009		Feb		201.35
2009		Mar		230.4
2009		Apr		224.27
2009		May		209.6
2009		Jun		187.69
2009		Jul		179.61
2009		Aug		165.39
2009		Sep		158.58
2009		Oct		205.05
2009		Nov		183.5
2009		Dec		170.58
2010		Jan		207.25
2010		Feb		205.51
2010		Mar		230.86
2010		Apr		218.43
2010		May		206.23
2010		Jun		184.45
2010		Jul		172.37
2010		Aug		167.39
2010		Sep		152.24
2010		Oct		190.93
2010		Nov		204.22
2010		Dec		193.87
2011		Jan		194.18
2011		Feb		202.67
2011		Mar		234.89
2011		Apr		220.26
2011		May		212.81
2011		Jun		179.75
2011		Jul		181.35
2011		Aug		153.38
2011		Sep		180.15
2011		Oct		204.0
2011		Nov		204.13
2011		Dec		197.63
2012		Jan		201.44
2012		Feb		188.2
2012		Mar		225.73
2012		Apr		212.3
2012		May		212.52
2012		Jun		189.46
2012		Jul		170.94
2012		Aug		169.1
2012		Sep		162.71
2012		Oct		204.54
2012		Nov		191.79
2012		Dec		196.9
2013		Jan		193.69
2013		Feb		204.24
2013		Mar		234.98
2013		Apr		225.07
2013		May		213.56
2013		Jun		190.61
2013		Jul		174.98
2013		Aug		152.13
2013		Sep		167.26
2013		Oct		190.41
2013		Nov		173.27
2013		Dec		190.3
2014		Jan		208.67
2014		Feb		210.42
2014		Mar		231.15
2014		Apr		225.11
2014		May		208.94
2014		Jun		195.28
2014		Jul		188.58
2014		Aug		172.59
2014		Sep		170.53
2014		Oct		211.93
2014		Nov		198.8
2014		Dec		186.27
2015		Jan		179.91
2015		Feb		194.8
2015		Mar		231.18
2015		Apr		224.03
2015		May		214.15
2015		Jun		194.61
2015		Jul		174.41
2015		Aug		161.63
2015		Sep		166.77
2015		Oct		184.77
2015		Nov		184.43
2015		Dec		184.36
2016		Jan		214.5
2016		Feb		186.54
2016		Mar		216.37
2016		Apr		212.35
2016		May		207.24
2016		Jun		187.63
2016		Jul		173.18
2016		Aug		169.35
2016		Sep		167.4
2016		Oct		204.95
2016		Nov		169.93
2016		Dec		190.78

H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo)

PVGIS (c) European Communities, 2001-2021
