Latitude (decimal degrees):	43.454
Longitude (decimal degrees):	5.471
Radiation database:	PVGIS-SARAH
Optimal slope angle (deg.):	38

year		month		H(i_opt)_m
2005		Jan		125.14
2005		Feb		143.39
2005		Mar		183.52
2005		Apr		176.46
2005		May		212.22
2005		Jun		218.66
2005		Jul		226.47
2005		Aug		217.31
2005		Sep		159.79
2005		Oct		134.76
2005		Nov		113.81
2005		Dec		122.34
2006		Jan		111.36
2006		Feb		118.12
2006		Mar		163.11
2006		Apr		203.56
2006		May		206.59
2006		Jun		209.84
2006		Jul		222.41
2006		Aug		221.03
2006		Sep		167.55
2006		Oct		159.48
2006		Nov		108.83
2006		Dec		106.8
2007		Jan		125.11
2007		Feb		110.37
2007		Mar		169.84
2007		Apr		173.09
2007		May		188.42
2007		Jun		199.4
2007		Jul		234.16
2007		Aug		212.66
2007		Sep		203.2
2007		Oct		154.88
2007		Nov		139.34
2007		Dec		119.43
2008		Jan		104.3
2008		Feb		142.64
2008		Mar		168.71
2008		Apr		175.9
2008		May		168.9
2008		Jun		197.7
2008		Jul		227.35
2008		Aug		213.7
2008		Sep		160.46
2008		Oct		125.71
2008		Nov		101.26
2008		Dec		93.74
2009		Jan		109.27
2009		Feb		127.67
2009		Mar		175.14
2009		Apr		156.62
2009		May		203.15
2009		Jun		218.13
2009		Jul		233.51
2009		Aug		219.01
2009		Sep		181.09
2009		Oct		150.46
2009		Nov		115.4
2009		Dec		96.32
2010		Jan		101.09
2010		Feb		100.68
2010		Mar		155.28
2010		Apr		175.14
2010		May		178.96
2010		Jun		197.96
2010		Jul		235.98
2010		Aug		221.77
2010		Sep		194.23
2010		Oct		144.75
2010		Nov		109.17
2010		Dec		87.64
2011		Jan		106.57
2011		Feb		122.36
2011		Mar		153.1
2011		Apr		202.2
2011		May		223.35
2011		Jun		194.0
2011		Jul		211.08
2011		Aug		227.04
2011		Sep		188.08
2011		Oct		159.79
2011		Nov		103.2
2011		Dec		123.69
2012		Jan		127.21
2012		Feb		152.97
2012		Mar		188.04
2012		Apr		167.59
2012		May		202.51
2012		Jun		212.01
2012		Jul		226.53
2012		Aug		215.42
2012		Sep		169.23
2012		Oct		140.58
2012		Nov		98.09
2012		Dec		111.31
2013		Jan		118.86
2013		Feb		129.77
2013		Mar		142.68
2013		Apr		148.19
2013		May		188.99
2013		Jun		213.44
2013		Jul		228.27
2013		Aug		223.11
2013		Sep		185.59
2013		Oct		127.01
2013		Nov		97.52
2013		Dec		103.24
2014		Jan		88.55
2014		Feb		99.63
2014		Mar		186.84
2014		Apr		180.17
2014		May		208.87
2014		Jun		203.3
2014		Jul		208.99
2014		Aug		220.33
2014		Sep		174.71
2014		Oct		155.79
2014		Nov		81.7
2014		Dec		106.51
2015		Jan		121.56
2015		Feb		119.27
2015		Mar		147.35
2015		Apr		195.39
2015		May		216.73
2015		Jun		211.94
2015		Jul		236.23
2015		Aug		220.38
2015		Sep		180.65
2015		Oct		134.65
2015		Nov		141.27
2015		Dec		74.52
2016		Jan		89.73
2016		Feb		104.61
2016		Mar		143.87
2016		Apr		149.89
2016		May		179.53
2016		Jun		186.08
2016		Jul		207.76
2016		Aug		216.72
2016		Sep		170.8
2016		Oct		140.31
2016		Nov		99.14
2016		Dec		125.61

H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo)

PVGIS (c) European Communities, 2001-2021
