Latitude (decimal degrees):	34.054
Longitude (decimal degrees):	-118.246
Radiation database:	PVGIS-NSRDB
Optimal slope angle (deg.):	32

year		month		H(i_opt)_m
2005		Jan		125.3
2005		Feb		118.32
2005		Mar		171.43
2005		Apr		210.89
2005		May		207.58
2005		Jun		193.83
2005		Jul		221.48
2005		Aug		222.6
2005		Sep		203.88
2005		Oct		168.75
2005		Nov		168.9
2005		Dec		133.28
2006		Jan		161.6
2006		Feb		168.66
2006		Mar		177.95
2006		Apr		165.15
2006		May		194.08
2006		Jun		191.5
2006		Jul		213.42
2006		Aug		225.5
2006		Sep		209.17
2006		Oct		184.73
2006		Nov		168.36
2006		Dec		164.39
2007		Jan		158.29
2007		Feb		148.49
2007		Mar		195.01
2007		Apr		190.6
2007		May		207.78
2007		Jun		213.03
2007		Jul		222.9
2007		Aug		220.25
2007		Sep		210.77
2007		Oct		193.82
2007		Nov		149.7
2007		Dec		159.24
2008		Jan		131.08
2008		Feb		157.59
2008		Mar		213.43
2008		Apr		214.67
2008		May		192.95
2008		Jun		217.38
2008		Jul		219.59
2008		Aug		226.1
2008		Sep		205.97
2008		Oct		204.94
2008		Nov		162.31
2008		Dec		130.89
2009		Jan		156.71
2009		Feb		135.79
2009		Mar		198.07
2009		Apr		203.29
2009		May		208.83
2009		Jun		168.78
2009		Jul		227.23
2009		Aug		223.69
2009		Sep		212.93
2009		Oct		190.02
2009		Nov		185.08
2009		Dec		132.99
2010		Jan		132.8
2010		Feb		137.97
2010		Mar		202.24
2010		Apr		202.41
2010		May		216.75
2010		Jun		196.49
2010		Jul		202.47
2010		Aug		230.88
2010		Sep		204.02
2010		Oct		145.38
2010		Nov		175.68
2010		Dec		119.89
2011		Jan		159.44
2011		Feb		164.56
2011		Mar		181.99
2011		Apr		202.41
2011		May		216.58
2011		Jun		187.88
2011		Jul		213.76
2011		Aug		227.02
2011		Sep		194.9
2011		Oct		190.55
2011		Nov		148.85
2011		Dec		166.93
2012		Jan		157.51
2012		Feb		160.88
2012		Mar		180.26
2012		Apr		202.55
2012		May		218.59
2012		Jun		216.05
2012		Jul		215.12
2012		Aug		223.41
2012		Sep		126.08
2012		Oct		186.74
2012		Nov		153.07
2012		Dec		122.29
2013		Jan		166.52
2013		Feb		170.34
2013		Mar		200.65
2013		Apr		203.93
2013		May		213.1
2013		Jun		200.21
2013		Jul		198.48
2013		Aug		226.92
2013		Sep		215.3
2013		Oct		200.24
2013		Nov		147.57
2013		Dec		158.44
2014		Jan		157.79
2014		Feb		152.61
2014		Mar		200.59
2014		Apr		220.08
2014		May		224.81
2014		Jun		218.57
2014		Jul		209.7
2014		Aug		225.68
2014		Sep		210.68
2014		Oct		205.74
2014		Nov		169.35
2014		Dec		126.1
2015		Jan		153.62
2015		Feb		167.38
2015		Mar		210.78
2015		Apr		210.31
2015		May		175.23
2015		Jun		185.77
2015		Jul		198.77
2015		Aug		219.53
2015		Sep		206.48
2015		Oct		178.75
2015		Nov		186.94
2015		Dec		157.22

H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo)

PVGIS (c) European Communities, 2001-2021
