Latitude (decimal degrees):	55.757
Longitude (decimal degrees):	37.615
Radiation database:	PVGIS-SARAH
Optimal slope angle (deg.):	2

year		month		H(i_opt)_m
2005		Jan		6.86
2005		Feb		29.28
2005		Mar		70.68
2005		Apr		100.87
2005		May		133.63
2005		Jun		152.56
2005		Jul		178.91
2005		Aug		149.11
2005		Sep		81.67
2005		Oct		50.05
2005		Nov		16.07
2005		Dec		4.83
2006		Jan		9.74
2006		Feb		34.35
2006		Mar		81.15
2006		Apr		109.78
2006		May		151.85
2006		Jun		178.64
2006		Jul		175.8
2006		Aug		120.54
2006		Sep		85.05
2006		Oct		33.02
2006		Nov		9.64
2006		Dec		4.06
2007		Jan		11.87
2007		Feb		38.42
2007		Mar		73.15
2007		Apr		115.36
2007		May		179.28
2007		Jun		183.24
2007		Jul		154.83
2007		Aug		147.81
2007		Sep		94.09
2007		Oct		33.82
2007		Nov		13.86
2007		Dec		5.74
2008		Jan		14.5
2008		Feb		24.46
2008		Mar		58.48
2008		Apr		117.82
2008		May		148.78
2008		Jun		159.5
2008		Jul		160.11
2008		Aug		111.79
2008		Sep		82.01
2008		Oct		41.84
2008		Nov		17.24
2008		Dec		7.29
2009		Jan		11.04
2009		Feb		27.18
2009		Mar		61.79
2009		Apr		127.42
2009		May		152.49
2009		Jun		163.1
2009		Jul		165.04
2009		Aug		127.18
2009		Sep		92.56
2009		Oct		44.14
2009		Nov		11.54
2009		Dec		8.27
2010		Jan		18.29
2010		Feb		31.69
2010		Mar		70.31
2010		Apr		127.59
2010		May		156.79
2010		Jun		172.66
2010		Jul		213.09
2010		Aug		141.05
2010		Sep		86.28
2010		Oct		49.42
2010		Nov		14.72
2010		Dec		7.97
2011		Jan		11.93
2011		Feb		35.07
2011		Mar		69.76
2011		Apr		116.61
2011		May		167.4
2011		Jun		182.6
2011		Jul		183.31
2011		Aug		150.32
2011		Sep		69.59
2011		Oct		34.4
2011		Nov		14.26
2011		Dec		6.65
2012		Jan		18.86
2012		Feb		39.6
2012		Mar		75.46
2012		Apr		104.3
2012		May		169.18
2012		Jun		163.7
2012		Jul		182.07
2012		Aug		125.75
2012		Sep		85.93
2012		Oct		29.64
2012		Nov		11.27
2012		Dec		10.07
2013		Jan		10.42
2013		Feb		30.07
2013		Mar		73.62
2013		Apr		110.44
2013		May		154.3
2013		Jun		187.98
2013		Jul		153.72
2013		Aug		148.69
2013		Sep		49.13
2013		Oct		39.11
2013		Nov		13.66
2013		Dec		5.64
2014		Jan		17.95
2014		Feb		20.6
2014		Mar		76.99
2014		Apr		131.37
2014		May		169.03
2014		Jun		166.63
2014		Jul		209.13
2014		Aug		146.14
2014		Sep		100.11
2014		Oct		39.21
2014		Nov		16.28
2014		Dec		7.21
2015		Jan		8.29
2015		Feb		23.42
2015		Mar		81.49
2015		Apr		98.41
2015		May		163.32
2015		Jun		178.03
2015		Jul		176.47
2015		Aug		168.02
2015		Sep		85.45
2015		Oct		42.87
2015		Nov		13.2
2015		Dec		6.55
2016		Jan		318.24
2016		Feb		336.32
2016		Mar		481.97
2016		Apr		466.47
2016		May		679.58
2016		Jun		628.41
2016		Jul		713.63
2016		Aug		623.76
2016		Sep		504.54
2016		Oct		533.51
2016		Nov		376.56
2016		Dec		231.18

H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo)

PVGIS (c) European Communities, 2001-2021
