Latitude (decimal degrees):	48.857
Longitude (decimal degrees):	2.341
Radiation database:	PVGIS-SARAH
Optimal slope angle (deg.):	39

year		month		H(i_opt)_m
2005		Jan		57.72
2005		Feb		61.52
2005		Mar		103.22
2005		Apr		135.1
2005		May		163.15
2005		Jun		181.07
2005		Jul		152.63
2005		Aug		172.94
2005		Sep		134.17
2005		Oct		107.8
2005		Nov		76.6
2005		Dec		44.05
2006		Jan		64.35
2006		Feb		41.93
2006		Mar		102.32
2006		Apr		142.93
2006		May		134.02
2006		Jun		189.14
2006		Jul		198.87
2006		Aug		132.81
2006		Sep		138.38
2006		Oct		92.43
2006		Nov		66.14
2006		Dec		49.28
2007		Jan		56.95
2007		Feb		74.48
2007		Mar		120.35
2007		Apr		218.25
2007		May		141.34
2007		Jun		145.49
2007		Jul		157.13
2007		Aug		136.56
2007		Sep		125.36
2007		Oct		106.67
2007		Nov		76.84
2007		Dec		70.65
2008		Jan		53.78
2008		Feb		97.25
2008		Mar		96.33
2008		Apr		134.27
2008		May		172.9
2008		Jun		152.29
2008		Jul		172.29
2008		Aug		136.81
2008		Sep		137.77
2008		Oct		95.91
2008		Nov		48.39
2008		Dec		46.17
2009		Jan		59.22
2009		Feb		64.46
2009		Mar		129.8
2009		Apr		154.09
2009		May		137.86
2009		Jun		165.85
2009		Jul		171.31
2009		Aug		179.62
2009		Sep		142.61
2009		Oct		97.36
2009		Nov		58.29
2009		Dec		53.18
2010		Jan		54.17
2010		Feb		62.1
2010		Mar		145.75
2010		Apr		183.89
2010		May		145.44
2010		Jun		171.76
2010		Jul		169.13
2010		Aug		147.48
2010		Sep		144.84
2010		Oct		114.5
2010		Nov		42.42
2010		Dec		43.6
2011		Jan		49.56
2011		Feb		52.91
2011		Mar		146.18
2011		Apr		183.2
2011		May		203.05
2011		Jun		147.49
2011		Jul		144.23
2011		Aug		159.43
2011		Sep		142.31
2011		Oct		105.39
2011		Nov		71.57
2011		Dec		57.26
2012		Jan		57.6
2012		Feb		95.55
2012		Mar		144.96
2012		Apr		121.92
2012		May		159.1
2012		Jun		133.05
2012		Jul		160.79
2012		Aug		176.02
2012		Sep		137.11
2012		Oct		83.17
2012		Nov		40.2
2012		Dec		40.97
2013		Jan		35.12
2013		Feb		58.67
2013		Mar		96.33
2013		Apr		139.16
2013		May		113.44
2013		Jun		137.14
2013		Jul		196.44
2013		Aug		175.11
2013		Sep		121.1
2013		Oct		88.04
2013		Nov		44.55
2013		Dec		73.93
2014		Jan		48.19
2014		Feb		71.26
2014		Mar		152.51
2014		Apr		147.9
2014		May		150.69
2014		Jun		176.75
2014		Jul		148.55
2014		Aug		147.71
2014		Sep		165.84
2014		Oct		95.28
2014		Nov		57.51
2014		Dec		42.78
2015		Jan		49.55
2015		Feb		76.96
2015		Mar		119.99
2015		Apr		169.68
2015		May		155.51
2015		Jun		198.58
2015		Jul		170.02
2015		Aug		163.26
2015		Sep		139.05
2015		Oct		91.11
2015		Nov		65.87
2015		Dec		67.77
2016		Jan		46.35
2016		Feb		68.39
2016		Mar		102.82
2016		Apr		134.3
2016		May		146.47
2016		Jun		121.13
2016		Jul		165.42
2016		Aug		175.34
2016		Sep		125.59
2016		Oct		100.87
2016		Nov		63.52
2016		Dec		63.03

H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo)

PVGIS (c) European Communities, 2001-2021
