Latitude (decimal degrees):	-22.912
Longitude (decimal degrees):	-43.175
Radiation database:	PVGIS-SARAH
Optimal slope angle (deg.):	24

year		month		H(i_opt)_m
2005		Jan		144.42
2005		Feb		168.95
2005		Mar		168.86
2005		Apr		165.62
2005		May		156.45
2005		Jun		151.82
2005		Jul		135.58
2005		Aug		167.71
2005		Sep		103.44
2005		Oct		147.53
2005		Nov		145.46
2005		Dec		159.22
2006		Jan		186.64
2006		Feb		154.16
2006		Mar		180.44
2006		Apr		169.3
2006		May		132.11
2006		Jun		141.45
2006		Jul		165.31
2006		Aug		149.43
2006		Sep		130.74
2006		Oct		149.51
2006		Nov		141.52
2006		Dec		157.58
2007		Jan		129.67
2007		Feb		186.93
2007		Mar		208.98
2007		Apr		180.9
2007		May		144.34
2007		Jun		146.19
2007		Jul		129.72
2007		Aug		158.34
2007		Sep		171.42
2007		Oct		185.48
2007		Nov		135.13
2007		Dec		169.81
2008		Jan		150.75
2008		Feb		159.98
2008		Mar		177.07
2008		Apr		138.95
2008		May		136.77
2008		Jun		123.32
2008		Jul		172.56
2008		Aug		151.31
2008		Sep		131.42
2008		Oct		146.84
2008		Nov		133.13
2008		Dec		140.22
2009		Jan		155.86
2009		Feb		181.63
2009		Mar		169.73
2009		Apr		157.41
2009		May		154.84
2009		Jun		130.94
2009		Jul		108.11
2009		Aug		137.57
2009		Sep		126.29
2009		Oct		129.67
2009		Nov		179.55
2009		Dec		143.5
2010		Jan		190.68
2010		Feb		179.37
2010		Mar		174.06
2010		Apr		149.26
2010		May		142.29
2010		Jun		142.55
2010		Jul		150.96
2010		Aug		150.5
2010		Sep		143.38
2010		Oct		152.02
2010		Nov		138.84
2010		Dec		171.47
2011		Jan		180.74
2011		Feb		188.74
2011		Mar		149.57
2011		Apr		171.14
2011		May		134.05
2011		Jun		146.39
2011		Jul		140.68
2011		Aug		152.6
2011		Sep		156.22
2011		Oct		152.97
2011		Nov		150.51
2011		Dec		149.93
2012		Jan		158.57
2012		Feb		201.21
2012		Mar		191.41
2012		Apr		156.1
2012		May		144.34
2012		Jun		118.51
2012		Jul		139.94
2012		Aug		173.54
2012		Sep		163.8
2012		Oct		188.15
2012		Nov		137.12
2012		Dec		195.83
2013		Jan		140.64
2013		Feb		175.3
2013		Mar		153.85
2013		Apr		151.98
2013		May		143.04
2013		Jun		120.95
2013		Jul		141.85
2013		Aug		158.74
2013		Sep		157.0
2013		Oct		144.66
2013		Nov		155.1
2013		Dec		156.96
2014		Jan		222.39
2014		Feb		196.56
2014		Mar		180.44
2014		Apr		163.45
2014		May		145.64
2014		Jun		138.3
2014		Jul		131.92
2014		Aug		152.81
2014		Sep		161.76
2014		Oct		186.81
2014		Nov		162.53
2014		Dec		186.42
2015		Jan		208.07
2015		Feb		169.75
2015		Mar		155.48
2015		Apr		156.89
2015		May		146.33
2015		Jun		129.8
2015		Jul		131.35
2015		Aug		188.58
2015		Sep		123.41
2015		Oct		152.44
2015		Nov		127.33
2015		Dec		175.95
2016		Jan		147.9
2016		Feb		178.44
2016		Mar		164.87
2016		Apr		181.48
2016		May		124.79
2016		Jun		116.79
2016		Jul		140.19
2016		Aug		159.91
2016		Sep		137.63
2016		Oct		137.5
2016		Nov		145.95
2016		Dec		179.88

H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo)

PVGIS (c) European Communities, 2001-2021
